Name,Type,Price,Small Description,Big Description,Main Image,Sub image 1,Sub image 2,Sub image 3,Sub image 4,Colour,Review Rating,Material,Size,Sale
AMALFI,Outdoor,825,Contemporary butterfly-style woven resin outdoor lounge chair.,Light and airy; the Amalfi lounge chair silhouette is characterised by weather-resistant poly-resin rope over a galvanised powdercoated iron frame. Seamlessly fits into any interior or outdoor living space.,AMALFI_BLACK,AMALFI_BLACK,,,,Black,1,Polypropylene,Medium,TRUE
SOHO,Outdoor,650,A contemporary outdoor chair designed with Scandinavian vintage chairs in mind.,The Soho Outdoor Occasional chair takes inspiration from Scandinavian design with its contemporary smooth wing tips and cut back curved arms. The legs on this chair are tapered to the floor and the chair sits high. The perfect chair to add a contemporary flair to your outdoor space. Pair with the Soho footstool for ultimate relaxation.,SOHO_BLACK,SOHO_BLACK,,,,Black,4,Vinyl,Large,TRUE
BOLLETTI,Outdoor,1395,Beautiful curves and woven design for your outdoor space.,The Bolletti collection brings a refreshing touch of organic woven detailing and curved powdercoated aluminium framing. Airy open weave design creates a lightweight designer collection perfect for outdoor entertaining. Breezy and open; the Bolletti collection compliments any outdoor space.,BOLLETTI_BLACK,BOLLETTI_BLACK,,BOLLETTI_WHITE,,Black; White,3,Vinyl,Small,TRUE
AXEL,Outdoor,1995,Timothy Oulton distressed bench made of sea-worn salvaged wood from the decks and hulls of castaway boats.,The Axel Bench combines old world and industrial with its combination of reclaimed wood from decommissioned Chinese fishing junks and hand-treated metal detailing. After decades of exposure to the high seas and elements; the reclaimed hardwood from the hulls; decking; and beams of the Chinese boats reflects uniquely weathered colourations and textures; making each piece unique. The perfect accompaniment to the Axel Dining Table or styled in a hallway.,AXEL_BROWN,,,,AXEL_BROWN,Brown,1,Wood,Large,TRUE
MILANO,Dining,425,Classic woven leather dining chair with powdercoated frame.,The Milano collection combines woven leather with a monochrome powdercoated frame to create a light aesthetic that has a contemporary versatility for your kitchen or dining setting.,MILANO_BLACK,MILANO_BLACK,,,,Black,3,Leather,Small,TRUE
CLIO,Dining,325,Contemporary dining chair upholstered in buttery PU with tapered metal legs.,Showcasing the pared back aesthetic of Italian design; the Clio range is a refined combination of beautiful PU leather and everyday comfort. Stitch detail on the frames edges adds subtle flair to your entertaining space; while the slender metal leg creates an elegant silhouette.,CLIO_BROWN,CLIO_BLACK,,,CLIO_BROWN,Black; Brown,4,Leather,Medium,TRUE
LLYOD,Dining,1030,Handsome contemporary side chair with cut out detail and comfortable upholstered seat.,Elegantly simple; the Lloyd Side Chair offers handsome seating for the contemporary dining room or eat-in kitchen. It features a mid-height back with cut out detail and a comfortable upholstered seat set atop a tapered leg base. The chair’s square form is sure to offer the perfect amount of contrast when paired with a round or oval table. Solid Tasmanian Oak frame with Green Line Italian Pirelli webbing. Dunlop Enduro high grade polyurethane cushioning; fully upholstered with piping detail and tapered timber feet. Upholstery and timber stain options available. Also; offered with contrasting piping detail.,LLOYD_WHITE,,LLOYD_GREY,LLOYD_WHITE,,Grey; White,3,Vinyl,Medium,TRUE
CARLOS,Lounge,4595,A bold contemporary recliner; grounded in comfort. Available in full analine leather; in chocolate or graphite.,A luxurious glide into ultimate comfort; the Carlos Leather Recliner Chair features seamlessly integrated motion in a bold contemporary design. Fully upholstered in a luxurious full aniline leather combining rich depth of colour with a soft buttery touch. Available in hand tipped graphite or chocolate. Estancia Leather Co has a focus on expert craftsmanship and beautiful materials; all leathers for the collection are sourced from South America; primarily Argentina; with some also from Brazil. Leathers from these regions are renowned for their toughness; durability and high quality. These natural leather hides are finished by hand with translucent dyes using a process that can take up to three days for one hide. There is no grain correction or pigmentation; ensuring that the magic of the natural leather is not compromised. The result is a truly authentic and unique hand finished leather of natural beauty; that will stand the test of time.,CARLOS_BROWN,CARLOS_BLACK,,,CARLOS_BROWN,Black; Brown,5,Leather,Large,TRUE
DIEGO,Lounge,3495,Luxurious recliner leather chair for sumptuous seating. Available in full aniline leather; in graphite or taupe.,A luxurious glide into ultimate comfort; the Diego Leather Recliner Chair features seamlessly integrated motion for a sumptuous sit. Fully upholstered in a luxurious full aniline leather combining rich depth of colour with a soft buttery touch. Available in hand tipped graphite or taupe. Estancia Leather Co has a focus on expert craftsmanship and beautiful materials; all leathers for the collection are sourced from South America; primarily Argentina; with some also from Brazil. Leathers from these regions are renowned for their toughness; durability and high quality. These natural leather hides are finished by hand with translucent dyes using a process that can take up to three days for one hide. There is no grain correction or pigmentation; ensuring that the magic of the natural leather is not compromised. The result is a truly authentic and unique hand finished leather of natural beauty; that will stand the test of time; and never go out of style.,DIEGO_BLACK,DIEGO_BLACK,,,DIEGO_BROWN,Black; Brown,5,Leather,Medium,TRUE
BAKU,Desk,169,Simple desk chair for any office or desk experience.,The Baku Medium Back Chair will help you to create a space where ideas are born to make bigger things happen. It has adjustable features making it perfect for the university student during a study session or the freelancer working from home. It comes in a range of colours to suit your preferences or to brighten up your décor for a fun experience while you’re completing homework; drafting architectural plans; finishing missions while gaming and more.,BAKU_BLACK,BAKU_BLACK,,BAKU_WHITE,,Black; White,2,Vinyl,Medium,TRUE
MALMO,Desk,99,Simple desk chair for any office or desk experience.,The Malmo Chair is a simple yet stylish addition to your home office or workspace that will keep you focused ad comfortable during tax time. To suit a wide range of users; it has a medium back height.,MALMO_BLACK,MALMO_BLACK,MALMO_GREY,,,Black; Grey,3,Vinyl,Small,TRUE
TYPHOON,Desk,279,Simple desk chair for any office or desk experience.,his Typhoon Pro Gaming Chair is an ideal addition to your setup; enhancing your optimal gaming performance or work productivity. It has gas lift height adjustment for finding your ideal field of view; as well as chair tilt adjustment and armrest adjustment so that you can customise your sitting preferences. Plus; with a mesh back for breathability and lumbar support for preventing strain; you can work or play in comfort for long durations.,TYPHOON_BLACK,TYPHOON_BLACK,,,,Black,4,Leather,Large,FALSE
